,circuitId,driverId1,driverStanding1,constructorStanding1,position1,inPit1,status1,laptime1,driverId2,driverStanding2,constructorStanding2,position2,inPit2,status2,laptime2,driverId3,driverStanding3,constructorStanding3,position3,inPit3,status3,laptime3,driverId4,driverStanding4,constructorStanding4,position4,inPit4,status4,laptime4,driverId5,driverStanding5,constructorStanding5,position5,inPit5,status5,laptime5,driverId6,driverStanding6,constructorStanding6,position6,inPit6,status6,laptime6,driverId7,driverStanding7,constructorStanding7,position7,inPit7,status7,laptime7,driverId8,driverStanding8,constructorStanding8,position8,inPit8,status8,laptime8,driverId9,driverStanding9,constructorStanding9,position9,inPit9,status9,laptime9,driverId10,driverStanding10,constructorStanding10,position10,inPit10,status10,laptime10,driverId11,driverStanding11,constructorStanding11,position11,inPit11,status11,laptime11,driverId12,driverStanding12,constructorStanding12,position12,inPit12,status12,laptime12,driverId13,driverStanding13,constructorStanding13,position13,inPit13,status13,laptime13,driverId14,driverStanding14,constructorStanding14,position14,inPit14,status14,laptime14,driverId15,driverStanding15,constructorStanding15,position15,inPit15,status15,laptime15,driverId16,driverStanding16,constructorStanding16,position16,inPit16,status16,laptime16,driverId17,driverStanding17,constructorStanding17,position17,inPit17,status17,laptime17,driverId18,driverStanding18,constructorStanding18,position18,inPit18,status18,laptime18,driverId19,driverStanding19,constructorStanding19,position19,inPit19,status19,laptime19,driverId20,driverStanding20,constructorStanding20,position20,inPit20,status20,laptime20,constructorStanding21,constructorStanding22,constructorStanding23,constructorStanding24,driverId21,driverId22,driverId23,driverId24,driverStanding21,driverStanding22,driverStanding23,driverStanding24,inPit21,inPit22,inPit23,inPit24,laptime21,laptime22,laptime23,laptime24,position21,position22,position23,position24,status21,status22,status23,status24
0,13.0,18.0,7.0,2.0,1.0,0.0,0.0,107.57300000000001,155.0,10.0,6.0,2.0,0.0,0.0,107.87100000000001,8.0,5.0,3.0,4.0,0.0,0.0,108.205,815.0,9.0,6.0,5.0,0.0,0.0,108.219,4.0,1.0,4.0,6.0,0.0,0.0,108.313,813.0,11.0,7.0,3.0,0.0,0.0,107.893,1.0,4.0,2.0,8.0,0.0,0.0,108.394,154.0,8.0,3.0,9.0,0.0,0.0,108.538,814.0,13.0,8.0,10.0,0.0,0.0,108.89,20.0,3.0,1.0,11.0,0.0,0.0,108.792,807.0,16.0,8.0,12.0,0.0,0.0,108.85499999999999,17.0,2.0,1.0,7.0,0.0,0.0,108.392,30.0,12.0,5.0,13.0,0.0,0.0,109.081,13.0,14.0,4.0,14.0,0.0,0.0,109.14699999999999,818.0,17.0,9.0,15.0,0.0,0.0,109.354,817.0,18.0,9.0,16.0,0.0,0.0,109.543,811.0,15.0,7.0,17.0,0.0,0.0,110.088,5.0,19.0,10.0,19.0,0.0,0.0,111.739,808.0,20.0,10.0,20.0,0.0,0.0,111.967,10.0,21.0,11.0,21.0,0.0,0.0,112.336,12.0,11.0,5.0,12.0,37.0,819.0,3.0,39.0,24.0,22.0,6.0,23.0,0.0,0.0,0.0,0.0,113.03,113.493,110.181,114.989,22.0,23.0,18.0,24.0,0.0,0.0,0.0,0.0
1,13.0,18.0,7.0,2.0,1.0,0.0,0.0,146.028,155.0,10.0,6.0,19.0,1.0,0.0,170.297,8.0,5.0,3.0,2.0,0.0,0.0,146.728,815.0,9.0,6.0,21.0,0.0,4.0,0.0,4.0,1.0,4.0,21.0,0.0,4.0,0.0,813.0,11.0,7.0,20.0,1.0,0.0,171.174,1.0,4.0,2.0,21.0,0.0,4.0,0.0,154.0,8.0,3.0,21.0,0.0,4.0,0.0,814.0,13.0,8.0,4.0,0.0,0.0,148.499,20.0,3.0,1.0,12.0,0.0,0.0,159.18200000000002,807.0,16.0,8.0,3.0,0.0,0.0,147.525,17.0,2.0,1.0,8.0,0.0,0.0,154.265,30.0,12.0,5.0,5.0,0.0,0.0,149.379,13.0,14.0,4.0,11.0,0.0,0.0,157.957,818.0,17.0,9.0,7.0,0.0,0.0,151.611,817.0,18.0,9.0,6.0,0.0,0.0,150.376,811.0,15.0,7.0,9.0,0.0,0.0,155.591,5.0,19.0,10.0,10.0,0.0,0.0,157.127,808.0,20.0,10.0,15.0,0.0,0.0,163.82999999999998,10.0,21.0,11.0,16.0,0.0,0.0,165.03,12.0,11.0,5.0,12.0,37.0,819.0,3.0,39.0,24.0,22.0,6.0,23.0,1.0,0.0,0.0,0.0,166.165,166.644,160.148,162.004,17.0,18.0,13.0,14.0,0.0,0.0,0.0,0.0
2,13.0,18.0,7.0,2.0,1.0,0.0,0.0,187.77,155.0,10.0,6.0,20.0,0.0,0.0,182.742,8.0,5.0,3.0,2.0,0.0,0.0,187.696,815.0,9.0,6.0,21.0,0.0,4.0,0.0,4.0,1.0,4.0,21.0,0.0,4.0,0.0,813.0,11.0,7.0,17.0,0.0,0.0,179.089,1.0,4.0,2.0,21.0,0.0,4.0,0.0,154.0,8.0,3.0,21.0,0.0,4.0,0.0,814.0,13.0,8.0,4.0,0.0,0.0,187.206,20.0,3.0,1.0,12.0,0.0,0.0,185.942,807.0,16.0,8.0,3.0,0.0,0.0,187.834,17.0,2.0,1.0,8.0,0.0,0.0,186.168,30.0,12.0,5.0,5.0,0.0,0.0,187.39,13.0,14.0,4.0,11.0,0.0,0.0,185.415,818.0,17.0,9.0,7.0,0.0,0.0,187.963,817.0,18.0,9.0,6.0,0.0,0.0,187.74,811.0,15.0,7.0,9.0,0.0,0.0,185.88400000000001,5.0,19.0,10.0,10.0,0.0,0.0,185.84,808.0,20.0,10.0,15.0,0.0,0.0,185.161,10.0,21.0,11.0,16.0,0.0,0.0,184.548,12.0,11.0,5.0,12.0,37.0,819.0,3.0,39.0,24.0,22.0,6.0,23.0,0.0,0.0,0.0,0.0,185.777,184.641,185.713,185.522,19.0,18.0,13.0,14.0,0.0,0.0,0.0,0.0
3,13.0,18.0,7.0,2.0,1.0,0.0,0.0,182.673,155.0,10.0,6.0,20.0,0.0,0.0,182.346,8.0,5.0,3.0,2.0,0.0,0.0,183.134,815.0,9.0,6.0,21.0,0.0,4.0,0.0,4.0,1.0,4.0,21.0,0.0,4.0,0.0,813.0,11.0,7.0,17.0,0.0,0.0,182.854,1.0,4.0,2.0,21.0,0.0,4.0,0.0,154.0,8.0,3.0,21.0,0.0,4.0,0.0,814.0,13.0,8.0,4.0,0.0,0.0,183.059,20.0,3.0,1.0,12.0,0.0,0.0,182.629,807.0,16.0,8.0,3.0,0.0,0.0,182.923,17.0,2.0,1.0,9.0,0.0,0.0,183.369,30.0,12.0,5.0,5.0,0.0,0.0,183.187,13.0,14.0,4.0,11.0,0.0,0.0,182.26,818.0,17.0,9.0,7.0,0.0,0.0,182.66,817.0,18.0,9.0,6.0,0.0,0.0,182.857,811.0,15.0,7.0,8.0,0.0,0.0,181.843,5.0,19.0,10.0,10.0,0.0,0.0,182.257,808.0,20.0,10.0,15.0,0.0,0.0,182.374,10.0,21.0,11.0,16.0,0.0,0.0,182.591,12.0,11.0,5.0,12.0,37.0,819.0,3.0,39.0,24.0,22.0,6.0,23.0,0.0,0.0,0.0,0.0,182.706,182.744,182.631,182.422,19.0,18.0,13.0,14.0,0.0,0.0,0.0,0.0
4,13.0,18.0,7.0,2.0,1.0,0.0,0.0,184.553,155.0,10.0,6.0,20.0,0.0,0.0,175.418,8.0,5.0,3.0,2.0,0.0,0.0,184.219,815.0,9.0,6.0,21.0,0.0,4.0,0.0,4.0,1.0,4.0,21.0,0.0,4.0,0.0,813.0,11.0,7.0,17.0,0.0,4.0,0.0,1.0,4.0,2.0,21.0,0.0,4.0,0.0,154.0,8.0,3.0,21.0,0.0,4.0,0.0,814.0,13.0,8.0,4.0,0.0,0.0,183.996,20.0,3.0,1.0,12.0,0.0,0.0,178.817,807.0,16.0,8.0,3.0,0.0,0.0,183.978,17.0,2.0,1.0,9.0,0.0,0.0,181.373,30.0,12.0,5.0,5.0,0.0,0.0,183.169,13.0,14.0,4.0,11.0,0.0,0.0,180.675,818.0,17.0,9.0,7.0,0.0,0.0,181.828,817.0,18.0,9.0,6.0,0.0,0.0,182.642,811.0,15.0,7.0,8.0,0.0,0.0,181.553,5.0,19.0,10.0,10.0,0.0,0.0,180.663,808.0,20.0,10.0,15.0,0.0,0.0,177.07,10.0,21.0,11.0,16.0,0.0,0.0,176.667,12.0,11.0,5.0,12.0,37.0,819.0,3.0,39.0,24.0,22.0,6.0,23.0,0.0,0.0,0.0,0.0,175.676,175.805,178.665,178.03300000000002,19.0,18.0,13.0,14.0,0.0,0.0,0.0,0.0
5,13.0,18.0,7.0,2.0,1.0,0.0,0.0,117.09100000000001,155.0,10.0,6.0,16.0,0.0,0.0,120.989,8.0,5.0,3.0,3.0,0.0,0.0,120.289,815.0,9.0,6.0,21.0,0.0,4.0,0.0,4.0,1.0,4.0,21.0,0.0,4.0,0.0,813.0,11.0,7.0,21.0,0.0,4.0,0.0,1.0,4.0,2.0,21.0,0.0,4.0,0.0,154.0,8.0,3.0,21.0,0.0,4.0,0.0,814.0,13.0,8.0,4.0,0.0,0.0,120.214,20.0,3.0,1.0,11.0,0.0,0.0,120.029,807.0,16.0,8.0,2.0,0.0,0.0,118.669,17.0,2.0,1.0,9.0,0.0,0.0,120.687,30.0,12.0,5.0,5.0,0.0,0.0,120.35,13.0,14.0,4.0,10.0,0.0,0.0,120.027,818.0,17.0,9.0,7.0,0.0,0.0,120.694,817.0,18.0,9.0,6.0,0.0,0.0,120.571,811.0,15.0,7.0,8.0,0.0,0.0,120.509,5.0,19.0,10.0,13.0,0.0,0.0,123.246,808.0,20.0,10.0,14.0,0.0,0.0,121.675,10.0,21.0,11.0,19.0,0.0,0.0,128.26,12.0,11.0,5.0,12.0,37.0,819.0,3.0,39.0,24.0,22.0,6.0,23.0,0.0,0.0,0.0,0.0,124.424,126.019,120.976,123.532,17.0,18.0,12.0,15.0,0.0,0.0,0.0,0.0
6,13.0,18.0,7.0,2.0,1.0,0.0,0.0,117.479,155.0,10.0,6.0,14.0,0.0,0.0,120.728,8.0,5.0,3.0,3.0,0.0,0.0,118.556,815.0,9.0,6.0,21.0,0.0,4.0,0.0,4.0,1.0,4.0,21.0,0.0,4.0,0.0,813.0,11.0,7.0,21.0,0.0,4.0,0.0,1.0,4.0,2.0,21.0,0.0,4.0,0.0,154.0,8.0,3.0,21.0,0.0,4.0,0.0,814.0,13.0,8.0,5.0,0.0,0.0,119.673,20.0,3.0,1.0,11.0,0.0,0.0,119.67,807.0,16.0,8.0,2.0,0.0,0.0,118.358,17.0,2.0,1.0,9.0,0.0,0.0,119.612,30.0,12.0,5.0,4.0,0.0,0.0,118.229,13.0,14.0,4.0,10.0,0.0,0.0,119.54599999999999,818.0,17.0,9.0,7.0,0.0,0.0,119.62,817.0,18.0,9.0,6.0,0.0,0.0,119.194,811.0,15.0,7.0,8.0,0.0,0.0,119.561,5.0,19.0,10.0,16.0,0.0,0.0,126.416,808.0,20.0,10.0,13.0,0.0,0.0,121.301,10.0,21.0,11.0,19.0,0.0,0.0,121.247,12.0,11.0,5.0,12.0,37.0,819.0,3.0,39.0,24.0,22.0,6.0,23.0,0.0,0.0,0.0,0.0,122.28,122.008,119.78399999999999,123.263,17.0,18.0,12.0,15.0,0.0,0.0,0.0,0.0
7,13.0,18.0,7.0,2.0,1.0,0.0,0.0,117.408,155.0,10.0,6.0,15.0,1.0,0.0,124.331,8.0,5.0,3.0,3.0,0.0,0.0,118.286,815.0,9.0,6.0,21.0,0.0,4.0,0.0,4.0,1.0,4.0,21.0,0.0,4.0,0.0,813.0,11.0,7.0,21.0,0.0,4.0,0.0,1.0,4.0,2.0,21.0,0.0,4.0,0.0,154.0,8.0,3.0,21.0,0.0,4.0,0.0,814.0,13.0,8.0,5.0,0.0,0.0,118.68299999999999,20.0,3.0,1.0,10.0,0.0,0.0,118.806,807.0,16.0,8.0,2.0,0.0,0.0,118.38,17.0,2.0,1.0,9.0,0.0,0.0,118.52600000000001,30.0,12.0,5.0,4.0,0.0,0.0,118.241,13.0,14.0,4.0,11.0,0.0,0.0,119.791,818.0,17.0,9.0,7.0,0.0,0.0,118.458,817.0,18.0,9.0,6.0,0.0,0.0,118.73400000000001,811.0,15.0,7.0,8.0,0.0,0.0,118.637,5.0,19.0,10.0,16.0,0.0,0.0,122.043,808.0,20.0,10.0,13.0,0.0,0.0,120.78,10.0,21.0,11.0,19.0,0.0,0.0,122.06,12.0,11.0,5.0,12.0,37.0,819.0,3.0,39.0,24.0,22.0,6.0,23.0,0.0,0.0,0.0,0.0,121.846,122.122,119.406,121.684,17.0,18.0,12.0,14.0,0.0,0.0,0.0,0.0
8,13.0,18.0,7.0,2.0,1.0,0.0,0.0,117.432,155.0,10.0,6.0,19.0,0.0,0.0,131.0,8.0,5.0,3.0,3.0,0.0,0.0,117.97999999999999,815.0,9.0,6.0,21.0,0.0,4.0,0.0,4.0,1.0,4.0,21.0,0.0,4.0,0.0,813.0,11.0,7.0,21.0,0.0,4.0,0.0,1.0,4.0,2.0,21.0,0.0,4.0,0.0,154.0,8.0,3.0,21.0,0.0,4.0,0.0,814.0,13.0,8.0,5.0,0.0,0.0,118.77199999999999,20.0,3.0,1.0,10.0,0.0,0.0,118.619,807.0,16.0,8.0,2.0,0.0,0.0,118.04599999999999,17.0,2.0,1.0,9.0,0.0,0.0,119.146,30.0,12.0,5.0,4.0,0.0,0.0,118.01599999999999,13.0,14.0,4.0,11.0,0.0,0.0,118.602,818.0,17.0,9.0,7.0,0.0,0.0,118.839,817.0,18.0,9.0,6.0,0.0,0.0,118.687,811.0,15.0,7.0,8.0,0.0,0.0,119.2,5.0,19.0,10.0,15.0,0.0,0.0,120.531,808.0,20.0,10.0,13.0,0.0,0.0,120.41,10.0,21.0,11.0,18.0,0.0,0.0,121.207,12.0,11.0,5.0,12.0,37.0,819.0,3.0,39.0,24.0,22.0,6.0,23.0,0.0,0.0,0.0,0.0,121.463,121.222,119.22,120.792,16.0,17.0,12.0,14.0,0.0,0.0,0.0,0.0
9,13.0,18.0,7.0,2.0,1.0,0.0,0.0,117.40100000000001,155.0,10.0,6.0,19.0,0.0,0.0,117.985,8.0,5.0,3.0,3.0,0.0,0.0,117.741,815.0,9.0,6.0,21.0,0.0,4.0,0.0,4.0,1.0,4.0,21.0,0.0,4.0,0.0,813.0,11.0,7.0,21.0,0.0,4.0,0.0,1.0,4.0,2.0,21.0,0.0,4.0,0.0,154.0,8.0,3.0,21.0,0.0,4.0,0.0,814.0,13.0,8.0,5.0,0.0,0.0,118.977,20.0,3.0,1.0,9.0,0.0,0.0,118.281,807.0,16.0,8.0,2.0,0.0,0.0,117.795,17.0,2.0,1.0,10.0,0.0,0.0,119.423,30.0,12.0,5.0,4.0,0.0,0.0,117.899,13.0,14.0,4.0,11.0,0.0,0.0,118.76400000000001,818.0,17.0,9.0,7.0,0.0,0.0,118.593,817.0,18.0,9.0,6.0,0.0,0.0,118.78,811.0,15.0,7.0,8.0,0.0,0.0,118.44,5.0,19.0,10.0,15.0,0.0,0.0,120.648,808.0,20.0,10.0,13.0,0.0,0.0,119.881,10.0,21.0,11.0,18.0,0.0,0.0,121.338,12.0,11.0,5.0,12.0,37.0,819.0,3.0,39.0,24.0,22.0,6.0,23.0,0.0,0.0,0.0,0.0,121.263,120.936,118.791,120.803,16.0,17.0,12.0,14.0,0.0,0.0,0.0,0.0
