,circuitId,driverId1,driverStanding1,constructorStanding1,position1,inPit1,status1,laptime1,driverId2,driverStanding2,constructorStanding2,position2,inPit2,status2,laptime2,driverId3,driverStanding3,constructorStanding3,position3,inPit3,status3,laptime3,driverId4,driverStanding4,constructorStanding4,position4,inPit4,status4,laptime4,driverId5,driverStanding5,constructorStanding5,position5,inPit5,status5,laptime5,driverId6,driverStanding6,constructorStanding6,position6,inPit6,status6,laptime6,driverId7,driverStanding7,constructorStanding7,position7,inPit7,status7,laptime7,driverId8,driverStanding8,constructorStanding8,position8,inPit8,status8,laptime8,driverId9,driverStanding9,constructorStanding9,position9,inPit9,status9,laptime9,driverId10,driverStanding10,constructorStanding10,position10,inPit10,status10,laptime10,driverId11,driverStanding11,constructorStanding11,position11,inPit11,status11,laptime11,driverId12,driverStanding12,constructorStanding12,position12,inPit12,status12,laptime12,driverId13,driverStanding13,constructorStanding13,position13,inPit13,status13,laptime13,driverId14,driverStanding14,constructorStanding14,position14,inPit14,status14,laptime14,driverId15,driverStanding15,constructorStanding15,position15,inPit15,status15,laptime15,driverId16,driverStanding16,constructorStanding16,position16,inPit16,status16,laptime16,driverId17,driverStanding17,constructorStanding17,position17,inPit17,status17,laptime17,driverId18,driverStanding18,constructorStanding18,position18,inPit18,status18,laptime18,driverId19,driverStanding19,constructorStanding19,position19,inPit19,status19,laptime19,driverId20,driverStanding20,constructorStanding20,position20,inPit20,status20,laptime20
0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,78.887,822.0,3.0,1.0,2.0,0.0,0.0,78.956,832.0,11.0,3.0,3.0,0.0,0.0,79.695,815.0,9.0,4.0,4.0,0.0,0.0,79.72,830.0,2.0,2.0,5.0,0.0,0.0,79.795,846.0,6.0,3.0,6.0,0.0,0.0,79.82,817.0,8.0,6.0,7.0,0.0,0.0,79.864,840.0,7.0,4.0,8.0,0.0,0.0,80.049,848.0,4.0,2.0,9.0,0.0,0.0,80.09,842.0,12.0,7.0,10.0,0.0,0.0,80.17699999999999,826.0,16.0,7.0,11.0,0.0,0.0,80.169,839.0,10.0,6.0,12.0,0.0,0.0,80.23400000000001,844.0,5.0,5.0,13.0,0.0,0.0,80.273,8.0,18.0,8.0,14.0,0.0,0.0,80.926,825.0,17.0,9.0,15.0,0.0,0.0,81.57300000000001,154.0,21.0,9.0,16.0,0.0,0.0,81.139,20.0,13.0,5.0,17.0,0.0,0.0,81.151,841.0,15.0,8.0,18.0,0.0,0.0,81.206,847.0,20.0,10.0,19.0,0.0,0.0,81.587,849.0,19.0,10.0,20.0,0.0,0.0,81.717
1,14.0,1.0,1.0,1.0,1.0,0.0,0.0,85.914,822.0,3.0,1.0,6.0,0.0,0.0,90.934,832.0,11.0,3.0,2.0,0.0,0.0,87.292,815.0,9.0,4.0,4.0,0.0,0.0,89.372,830.0,2.0,2.0,7.0,0.0,0.0,91.365,846.0,6.0,3.0,3.0,0.0,0.0,88.59100000000001,817.0,8.0,6.0,5.0,0.0,0.0,90.22200000000001,840.0,7.0,4.0,8.0,0.0,0.0,91.644,848.0,4.0,2.0,15.0,0.0,0.0,94.938,842.0,12.0,7.0,10.0,0.0,0.0,92.608,826.0,16.0,7.0,11.0,0.0,0.0,93.274,839.0,10.0,6.0,9.0,0.0,0.0,92.119,844.0,5.0,5.0,13.0,0.0,0.0,94.071,8.0,18.0,8.0,12.0,0.0,0.0,93.63499999999999,825.0,17.0,9.0,20.0,1.0,0.0,100.1,154.0,21.0,9.0,16.0,0.0,0.0,95.429,20.0,13.0,5.0,18.0,0.0,0.0,97.087,841.0,15.0,8.0,14.0,0.0,0.0,94.388,847.0,20.0,10.0,17.0,0.0,0.0,96.445,849.0,19.0,10.0,19.0,0.0,0.0,97.259
2,14.0,1.0,1.0,1.0,1.0,0.0,0.0,85.265,822.0,3.0,1.0,6.0,0.0,0.0,86.027,832.0,11.0,3.0,2.0,0.0,0.0,85.769,815.0,9.0,4.0,4.0,0.0,0.0,86.136,830.0,2.0,2.0,8.0,0.0,0.0,86.762,846.0,6.0,3.0,3.0,0.0,0.0,86.0,817.0,8.0,6.0,5.0,0.0,0.0,86.185,840.0,7.0,4.0,7.0,0.0,0.0,86.152,848.0,4.0,2.0,15.0,0.0,0.0,88.30799999999999,842.0,12.0,7.0,10.0,0.0,0.0,87.139,826.0,16.0,7.0,11.0,0.0,0.0,87.35300000000001,839.0,10.0,6.0,9.0,0.0,0.0,87.003,844.0,5.0,5.0,13.0,0.0,0.0,88.003,8.0,18.0,8.0,12.0,0.0,0.0,87.629,825.0,17.0,9.0,20.0,0.0,0.0,122.657,154.0,21.0,9.0,16.0,0.0,0.0,88.613,20.0,13.0,5.0,17.0,0.0,0.0,87.93299999999999,841.0,15.0,8.0,14.0,0.0,0.0,88.219,847.0,20.0,10.0,18.0,0.0,0.0,89.298,849.0,19.0,10.0,19.0,0.0,0.0,89.05199999999999
3,14.0,1.0,1.0,1.0,1.0,0.0,0.0,85.539,822.0,3.0,1.0,6.0,0.0,0.0,85.971,832.0,11.0,3.0,2.0,0.0,0.0,85.78,815.0,9.0,4.0,4.0,0.0,0.0,85.889,830.0,2.0,2.0,7.0,0.0,0.0,85.744,846.0,6.0,3.0,3.0,0.0,0.0,86.125,817.0,8.0,6.0,5.0,0.0,0.0,85.976,840.0,7.0,4.0,8.0,0.0,0.0,87.28399999999999,848.0,4.0,2.0,15.0,0.0,0.0,86.964,842.0,12.0,7.0,10.0,0.0,0.0,86.536,826.0,16.0,7.0,11.0,0.0,0.0,86.602,839.0,10.0,6.0,9.0,0.0,0.0,86.564,844.0,5.0,5.0,13.0,0.0,0.0,86.925,8.0,18.0,8.0,12.0,0.0,0.0,86.82,825.0,17.0,9.0,20.0,0.0,0.0,86.816,154.0,21.0,9.0,16.0,0.0,0.0,87.27,20.0,13.0,5.0,17.0,0.0,0.0,87.646,841.0,15.0,8.0,14.0,0.0,0.0,87.114,847.0,20.0,10.0,18.0,0.0,0.0,87.399,849.0,19.0,10.0,19.0,0.0,0.0,88.069
4,14.0,1.0,1.0,1.0,1.0,0.0,0.0,85.372,822.0,3.0,1.0,6.0,0.0,0.0,86.05199999999999,832.0,11.0,3.0,2.0,0.0,0.0,85.822,815.0,9.0,4.0,4.0,0.0,0.0,86.019,830.0,2.0,2.0,7.0,0.0,0.0,85.862,846.0,6.0,3.0,3.0,0.0,0.0,85.854,817.0,8.0,6.0,5.0,0.0,0.0,85.983,840.0,7.0,4.0,8.0,0.0,0.0,85.988,848.0,4.0,2.0,14.0,0.0,0.0,86.47200000000001,842.0,12.0,7.0,10.0,0.0,0.0,86.255,826.0,16.0,7.0,11.0,0.0,0.0,86.181,839.0,10.0,6.0,9.0,0.0,0.0,86.116,844.0,5.0,5.0,13.0,0.0,0.0,86.623,8.0,18.0,8.0,12.0,0.0,0.0,86.318,825.0,17.0,9.0,20.0,0.0,0.0,86.01,154.0,21.0,9.0,16.0,0.0,0.0,87.145,20.0,13.0,5.0,17.0,0.0,0.0,87.107,841.0,15.0,8.0,15.0,0.0,0.0,87.834,847.0,20.0,10.0,18.0,0.0,0.0,87.331,849.0,19.0,10.0,19.0,0.0,0.0,87.537
5,14.0,1.0,1.0,1.0,1.0,0.0,0.0,85.541,822.0,3.0,1.0,6.0,0.0,0.0,86.119,832.0,11.0,3.0,2.0,0.0,0.0,85.811,815.0,9.0,4.0,4.0,0.0,0.0,86.423,830.0,2.0,2.0,7.0,0.0,0.0,85.962,846.0,6.0,3.0,3.0,0.0,0.0,85.951,817.0,8.0,6.0,5.0,0.0,0.0,86.30799999999999,840.0,7.0,4.0,8.0,0.0,0.0,86.053,848.0,4.0,2.0,14.0,0.0,0.0,86.15899999999999,842.0,12.0,7.0,10.0,0.0,0.0,86.196,826.0,16.0,7.0,11.0,0.0,0.0,86.08,839.0,10.0,6.0,9.0,0.0,0.0,86.217,844.0,5.0,5.0,13.0,0.0,0.0,86.354,8.0,18.0,8.0,12.0,0.0,0.0,86.468,825.0,17.0,9.0,20.0,0.0,0.0,86.163,154.0,21.0,9.0,16.0,0.0,0.0,86.662,20.0,13.0,5.0,17.0,0.0,0.0,88.32,841.0,15.0,8.0,15.0,0.0,0.0,86.385,847.0,20.0,10.0,18.0,0.0,0.0,87.639,849.0,19.0,10.0,19.0,0.0,0.0,87.599
6,14.0,1.0,1.0,1.0,1.0,0.0,0.0,84.89,822.0,3.0,1.0,6.0,0.0,0.0,86.55199999999999,832.0,11.0,3.0,2.0,0.0,0.0,85.806,815.0,9.0,4.0,4.0,0.0,0.0,86.025,830.0,2.0,2.0,7.0,0.0,0.0,86.589,846.0,6.0,3.0,3.0,0.0,0.0,86.20400000000001,817.0,8.0,6.0,5.0,0.0,0.0,86.064,840.0,7.0,4.0,8.0,0.0,0.0,86.215,848.0,4.0,2.0,14.0,0.0,0.0,86.59,842.0,12.0,7.0,10.0,0.0,0.0,86.364,826.0,16.0,7.0,11.0,0.0,0.0,86.175,839.0,10.0,6.0,9.0,0.0,0.0,86.124,844.0,5.0,5.0,13.0,0.0,0.0,86.545,8.0,18.0,8.0,12.0,0.0,0.0,86.218,825.0,17.0,9.0,19.0,0.0,0.0,87.393,154.0,21.0,9.0,16.0,0.0,0.0,87.137,20.0,13.0,5.0,20.0,0.0,23.0,0.0,841.0,15.0,8.0,15.0,0.0,0.0,86.631,847.0,20.0,10.0,17.0,0.0,0.0,87.37,849.0,19.0,10.0,18.0,0.0,0.0,87.485
7,14.0,1.0,1.0,1.0,1.0,0.0,0.0,85.074,822.0,3.0,1.0,6.0,0.0,0.0,86.075,832.0,11.0,3.0,2.0,0.0,0.0,85.53999999999999,815.0,9.0,4.0,4.0,0.0,0.0,85.733,830.0,2.0,2.0,7.0,0.0,0.0,86.095,846.0,6.0,3.0,3.0,0.0,0.0,86.04599999999999,817.0,8.0,6.0,5.0,0.0,0.0,86.15299999999999,840.0,7.0,4.0,8.0,0.0,0.0,86.337,848.0,4.0,2.0,14.0,0.0,0.0,86.732,842.0,12.0,7.0,10.0,0.0,0.0,86.16,826.0,16.0,7.0,11.0,0.0,0.0,86.202,839.0,10.0,6.0,9.0,0.0,0.0,86.276,844.0,5.0,5.0,13.0,0.0,0.0,86.527,8.0,18.0,8.0,12.0,0.0,0.0,86.331,825.0,17.0,9.0,19.0,0.0,0.0,86.269,154.0,21.0,9.0,16.0,0.0,0.0,86.733,20.0,13.0,5.0,21.0,0.0,23.0,0.0,841.0,15.0,8.0,15.0,0.0,0.0,86.613,847.0,20.0,10.0,17.0,0.0,0.0,87.045,849.0,19.0,10.0,18.0,0.0,0.0,87.33500000000001
8,14.0,1.0,1.0,1.0,1.0,0.0,0.0,85.006,822.0,3.0,1.0,6.0,0.0,0.0,86.101,832.0,11.0,3.0,2.0,0.0,0.0,85.712,815.0,9.0,4.0,4.0,0.0,0.0,85.821,830.0,2.0,2.0,7.0,0.0,0.0,86.269,846.0,6.0,3.0,3.0,0.0,0.0,86.049,817.0,8.0,6.0,5.0,0.0,0.0,86.008,840.0,7.0,4.0,8.0,0.0,0.0,86.225,848.0,4.0,2.0,14.0,0.0,0.0,86.376,842.0,12.0,7.0,10.0,0.0,0.0,86.485,826.0,16.0,7.0,11.0,0.0,0.0,86.309,839.0,10.0,6.0,9.0,0.0,0.0,86.374,844.0,5.0,5.0,13.0,0.0,0.0,86.623,8.0,18.0,8.0,12.0,0.0,0.0,86.453,825.0,17.0,9.0,19.0,0.0,0.0,86.107,154.0,21.0,9.0,16.0,0.0,0.0,86.846,20.0,13.0,5.0,21.0,0.0,23.0,0.0,841.0,15.0,8.0,15.0,0.0,0.0,86.496,847.0,20.0,10.0,17.0,0.0,0.0,86.696,849.0,19.0,10.0,18.0,0.0,0.0,87.001
9,14.0,1.0,1.0,1.0,1.0,0.0,0.0,85.47,822.0,3.0,1.0,6.0,0.0,0.0,86.13,832.0,11.0,3.0,2.0,0.0,0.0,85.675,815.0,9.0,4.0,4.0,0.0,0.0,86.612,830.0,2.0,2.0,7.0,0.0,0.0,86.208,846.0,6.0,3.0,3.0,0.0,0.0,86.20400000000001,817.0,8.0,6.0,5.0,0.0,0.0,86.178,840.0,7.0,4.0,8.0,0.0,0.0,86.276,848.0,4.0,2.0,14.0,0.0,0.0,86.798,842.0,12.0,7.0,10.0,0.0,0.0,86.229,826.0,16.0,7.0,11.0,0.0,0.0,86.685,839.0,10.0,6.0,9.0,0.0,0.0,86.364,844.0,5.0,5.0,13.0,0.0,0.0,86.752,8.0,18.0,8.0,12.0,0.0,0.0,86.418,825.0,17.0,9.0,19.0,0.0,0.0,85.941,154.0,21.0,9.0,16.0,0.0,0.0,86.803,20.0,13.0,5.0,21.0,0.0,23.0,0.0,841.0,15.0,8.0,15.0,0.0,0.0,86.742,847.0,20.0,10.0,17.0,0.0,0.0,86.423,849.0,19.0,10.0,18.0,0.0,0.0,87.178
