,circuitId,driverId1,driverStanding1,constructorStanding1,position1,inPit1,status1,laptime1,driverId2,driverStanding2,constructorStanding2,position2,inPit2,status2,laptime2,driverId3,driverStanding3,constructorStanding3,position3,inPit3,status3,laptime3,driverId4,driverStanding4,constructorStanding4,position4,inPit4,status4,laptime4,driverId5,driverStanding5,constructorStanding5,position5,inPit5,status5,laptime5,driverId6,driverStanding6,constructorStanding6,position6,inPit6,status6,laptime6,driverId7,driverStanding7,constructorStanding7,position7,inPit7,status7,laptime7,driverId8,driverStanding8,constructorStanding8,position8,inPit8,status8,laptime8,driverId9,driverStanding9,constructorStanding9,position9,inPit9,status9,laptime9,driverId10,driverStanding10,constructorStanding10,position10,inPit10,status10,laptime10,driverId11,driverStanding11,constructorStanding11,position11,inPit11,status11,laptime11,driverId12,driverStanding12,constructorStanding12,position12,inPit12,status12,laptime12,driverId13,driverStanding13,constructorStanding13,position13,inPit13,status13,laptime13,driverId14,driverStanding14,constructorStanding14,position14,inPit14,status14,laptime14,driverId15,driverStanding15,constructorStanding15,position15,inPit15,status15,laptime15,driverId16,driverStanding16,constructorStanding16,position16,inPit16,status16,laptime16,driverId17,driverStanding17,constructorStanding17,position17,inPit17,status17,laptime17,driverId18,driverStanding18,constructorStanding18,position18,inPit18,status18,laptime18,driverId19,driverStanding19,constructorStanding19,position19,inPit19,status19,laptime19,driverId20,driverStanding20,constructorStanding20,position20,inPit20,status20,laptime20,constructorStanding21,constructorStanding22,driverId21,driverId22,driverStanding21,driverStanding22,inPit21,inPit22,laptime21,laptime22,position21,position22,status21,status22
0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,104.231,817.0,14.0,1.0,2.0,0.0,0.0,104.548,3.0,6.0,2.0,3.0,0.0,0.0,104.595,825.0,20.0,5.0,4.0,0.0,0.0,105.745,4.0,2.0,3.0,5.0,0.0,0.0,105.819,818.0,15.0,8.0,6.0,0.0,0.0,105.864,807.0,10.0,6.0,7.0,0.0,0.0,106.03,826.0,20.0,8.0,8.0,0.0,0.0,107.368,13.0,8.0,9.0,9.0,0.0,0.0,108.07900000000001,18.0,9.0,5.0,11.0,0.0,0.0,104.437,8.0,5.0,3.0,12.0,0.0,0.0,104.494,20.0,1.0,1.0,13.0,0.0,0.0,104.688,16.0,13.0,7.0,14.0,0.0,0.0,105.655,155.0,20.0,11.0,15.0,0.0,0.0,105.86699999999999,822.0,17.0,9.0,10.0,0.0,0.0,108.14699999999999,815.0,11.0,6.0,16.0,0.0,0.0,107.293,820.0,23.0,10.0,17.0,0.0,0.0,94.293,824.0,19.0,10.0,18.0,0.0,0.0,94.794,828.0,20.0,11.0,20.0,0.0,0.0,95.157,821.0,16.0,7.0,19.0,0.0,0.0,95.11699999999999,4.0,4.0,813.0,154.0,18.0,7.0,0.0,0.0,0.0,96.993,22.0,21.0,0.0,0.0
1,1.0,1.0,4.0,2.0,4.0,0.0,0.0,106.128,817.0,14.0,1.0,2.0,0.0,0.0,103.549,3.0,6.0,2.0,1.0,0.0,0.0,102.038,825.0,20.0,5.0,3.0,0.0,0.0,105.402,4.0,2.0,3.0,6.0,0.0,0.0,108.26599999999999,818.0,15.0,8.0,7.0,0.0,0.0,108.805,807.0,10.0,6.0,5.0,0.0,0.0,106.98599999999999,826.0,20.0,8.0,9.0,0.0,0.0,109.503,13.0,8.0,9.0,21.0,0.0,4.0,0.0,18.0,9.0,5.0,11.0,0.0,0.0,110.328,8.0,5.0,3.0,8.0,0.0,0.0,109.387,20.0,1.0,1.0,15.0,0.0,0.0,120.977,16.0,13.0,7.0,12.0,0.0,0.0,113.369,155.0,20.0,11.0,21.0,0.0,4.0,0.0,822.0,17.0,9.0,10.0,0.0,0.0,109.76599999999999,815.0,11.0,6.0,18.0,1.0,0.0,156.707,820.0,23.0,10.0,16.0,0.0,0.0,125.52,824.0,19.0,10.0,20.0,0.0,0.0,841.218,828.0,20.0,11.0,13.0,0.0,0.0,115.013,821.0,16.0,7.0,19.0,1.0,0.0,161.894,4.0,4.0,813.0,154.0,18.0,7.0,0.0,1.0,116.505,130.795,14.0,17.0,0.0,0.0
2,1.0,1.0,4.0,2.0,5.0,0.0,5.0,0.0,817.0,14.0,1.0,2.0,0.0,0.0,97.459,3.0,6.0,2.0,1.0,0.0,0.0,97.687,825.0,20.0,5.0,3.0,0.0,0.0,97.435,4.0,2.0,3.0,6.0,0.0,0.0,98.61099999999999,818.0,15.0,8.0,7.0,0.0,0.0,98.57900000000001,807.0,10.0,6.0,4.0,0.0,0.0,98.35900000000001,826.0,20.0,8.0,9.0,0.0,0.0,98.797,13.0,8.0,9.0,21.0,0.0,4.0,0.0,18.0,9.0,5.0,11.0,0.0,0.0,98.968,8.0,5.0,3.0,8.0,0.0,0.0,98.63,20.0,1.0,1.0,16.0,0.0,0.0,109.947,16.0,13.0,7.0,12.0,0.0,0.0,101.685,155.0,20.0,11.0,21.0,0.0,4.0,0.0,822.0,17.0,9.0,10.0,0.0,0.0,98.737,815.0,11.0,6.0,18.0,0.0,0.0,104.78999999999999,820.0,23.0,10.0,15.0,0.0,0.0,103.507,824.0,19.0,10.0,20.0,0.0,0.0,99.46000000000001,828.0,20.0,11.0,13.0,0.0,0.0,101.262,821.0,16.0,7.0,19.0,0.0,0.0,105.455,4.0,4.0,813.0,154.0,18.0,7.0,0.0,0.0,100.456,105.62899999999999,14.0,17.0,0.0,0.0
3,1.0,1.0,4.0,2.0,21.0,0.0,5.0,0.0,817.0,14.0,1.0,2.0,0.0,0.0,96.321,3.0,6.0,2.0,1.0,0.0,0.0,95.765,825.0,20.0,5.0,3.0,0.0,0.0,97.917,4.0,2.0,3.0,5.0,0.0,0.0,97.81,818.0,15.0,8.0,7.0,0.0,0.0,99.424,807.0,10.0,6.0,4.0,0.0,0.0,96.856,826.0,20.0,8.0,9.0,0.0,0.0,99.417,13.0,8.0,9.0,21.0,0.0,4.0,0.0,18.0,9.0,5.0,10.0,0.0,0.0,98.705,8.0,5.0,3.0,6.0,0.0,0.0,97.771,20.0,1.0,1.0,16.0,0.0,5.0,0.0,16.0,13.0,7.0,11.0,0.0,0.0,100.024,155.0,20.0,11.0,21.0,0.0,4.0,0.0,822.0,17.0,9.0,8.0,0.0,0.0,98.584,815.0,11.0,6.0,17.0,0.0,0.0,97.064,820.0,23.0,10.0,14.0,0.0,0.0,100.425,824.0,19.0,10.0,19.0,0.0,0.0,98.882,828.0,20.0,11.0,12.0,0.0,0.0,99.457,821.0,16.0,7.0,18.0,0.0,0.0,100.56700000000001,4.0,4.0,813.0,154.0,18.0,7.0,0.0,0.0,100.14099999999999,98.519,13.0,15.0,0.0,0.0
4,1.0,1.0,4.0,2.0,21.0,0.0,5.0,0.0,817.0,14.0,1.0,2.0,0.0,0.0,95.96600000000001,3.0,6.0,2.0,1.0,0.0,0.0,94.939,825.0,20.0,5.0,3.0,0.0,0.0,96.79599999999999,4.0,2.0,3.0,5.0,0.0,0.0,95.719,818.0,15.0,8.0,7.0,0.0,0.0,96.85499999999999,807.0,10.0,6.0,4.0,0.0,0.0,96.878,826.0,20.0,8.0,9.0,0.0,0.0,97.037,13.0,8.0,9.0,21.0,0.0,4.0,0.0,18.0,9.0,5.0,10.0,0.0,0.0,97.156,8.0,5.0,3.0,6.0,0.0,0.0,97.013,20.0,1.0,1.0,21.0,0.0,5.0,0.0,16.0,13.0,7.0,11.0,0.0,0.0,99.82300000000001,155.0,20.0,11.0,21.0,0.0,4.0,0.0,822.0,17.0,9.0,8.0,0.0,0.0,96.786,815.0,11.0,6.0,16.0,0.0,0.0,96.50999999999999,820.0,23.0,10.0,14.0,0.0,0.0,98.928,824.0,19.0,10.0,18.0,0.0,0.0,113.40100000000001,828.0,20.0,11.0,12.0,0.0,0.0,99.774,821.0,16.0,7.0,17.0,0.0,0.0,97.4,4.0,4.0,813.0,154.0,18.0,7.0,0.0,0.0,99.72800000000001,99.157,13.0,15.0,0.0,0.0
5,1.0,1.0,4.0,2.0,21.0,0.0,5.0,0.0,817.0,14.0,1.0,2.0,0.0,0.0,96.66499999999999,3.0,6.0,2.0,1.0,0.0,0.0,95.438,825.0,20.0,5.0,3.0,0.0,0.0,96.76599999999999,4.0,2.0,3.0,5.0,0.0,0.0,96.205,818.0,15.0,8.0,8.0,0.0,0.0,97.592,807.0,10.0,6.0,4.0,0.0,0.0,96.352,826.0,20.0,8.0,9.0,0.0,0.0,96.99199999999999,13.0,8.0,9.0,21.0,0.0,4.0,0.0,18.0,9.0,5.0,10.0,0.0,0.0,97.12,8.0,5.0,3.0,6.0,0.0,0.0,96.092,20.0,1.0,1.0,21.0,0.0,5.0,0.0,16.0,13.0,7.0,12.0,0.0,0.0,101.794,155.0,20.0,11.0,21.0,0.0,4.0,0.0,822.0,17.0,9.0,7.0,0.0,0.0,95.747,815.0,11.0,6.0,16.0,0.0,0.0,96.033,820.0,23.0,10.0,14.0,0.0,0.0,98.636,824.0,19.0,10.0,18.0,0.0,0.0,118.319,828.0,20.0,11.0,11.0,0.0,0.0,100.30799999999999,821.0,16.0,7.0,17.0,0.0,0.0,96.445,4.0,4.0,813.0,154.0,18.0,7.0,0.0,0.0,100.548,98.493,13.0,15.0,0.0,0.0
6,1.0,1.0,4.0,2.0,21.0,0.0,5.0,0.0,817.0,14.0,1.0,2.0,0.0,0.0,95.47999999999999,3.0,6.0,2.0,1.0,0.0,0.0,94.977,825.0,20.0,5.0,3.0,0.0,0.0,95.857,4.0,2.0,3.0,5.0,0.0,0.0,95.634,818.0,15.0,8.0,8.0,0.0,0.0,96.357,807.0,10.0,6.0,4.0,0.0,0.0,96.063,826.0,20.0,8.0,9.0,0.0,0.0,96.745,13.0,8.0,9.0,21.0,0.0,4.0,0.0,18.0,9.0,5.0,10.0,0.0,0.0,96.686,8.0,5.0,3.0,6.0,0.0,0.0,95.132,20.0,1.0,1.0,21.0,0.0,5.0,0.0,16.0,13.0,7.0,12.0,0.0,0.0,99.542,155.0,20.0,11.0,21.0,0.0,4.0,0.0,822.0,17.0,9.0,7.0,0.0,0.0,94.925,815.0,11.0,6.0,16.0,0.0,0.0,96.07,820.0,23.0,10.0,14.0,0.0,0.0,99.455,824.0,19.0,10.0,18.0,0.0,0.0,102.194,828.0,20.0,11.0,11.0,0.0,0.0,100.337,821.0,16.0,7.0,17.0,0.0,0.0,96.154,4.0,4.0,813.0,154.0,18.0,7.0,0.0,0.0,99.369,97.813,13.0,15.0,0.0,0.0
7,1.0,1.0,4.0,2.0,21.0,0.0,5.0,0.0,817.0,14.0,1.0,2.0,0.0,0.0,95.324,3.0,6.0,2.0,1.0,0.0,0.0,95.417,825.0,20.0,5.0,3.0,0.0,0.0,95.446,4.0,2.0,3.0,5.0,0.0,0.0,96.292,818.0,15.0,8.0,8.0,0.0,0.0,96.263,807.0,10.0,6.0,4.0,0.0,0.0,96.618,826.0,20.0,8.0,9.0,0.0,0.0,96.22800000000001,13.0,8.0,9.0,21.0,0.0,4.0,0.0,18.0,9.0,5.0,10.0,0.0,0.0,96.271,8.0,5.0,3.0,6.0,0.0,0.0,96.143,20.0,1.0,1.0,21.0,0.0,5.0,0.0,16.0,13.0,7.0,11.0,0.0,0.0,97.994,155.0,20.0,11.0,21.0,0.0,4.0,0.0,822.0,17.0,9.0,7.0,0.0,0.0,95.96000000000001,815.0,11.0,6.0,16.0,0.0,0.0,96.087,820.0,23.0,10.0,14.0,0.0,0.0,99.49600000000001,824.0,19.0,10.0,18.0,0.0,0.0,120.446,828.0,20.0,11.0,12.0,0.0,0.0,99.846,821.0,16.0,7.0,17.0,0.0,0.0,96.033,4.0,4.0,813.0,154.0,18.0,7.0,0.0,0.0,99.59,97.112,13.0,15.0,0.0,0.0
8,1.0,1.0,4.0,2.0,21.0,0.0,5.0,0.0,817.0,14.0,1.0,2.0,0.0,0.0,95.088,3.0,6.0,2.0,1.0,0.0,0.0,94.55,825.0,20.0,5.0,3.0,0.0,0.0,95.75200000000001,4.0,2.0,3.0,5.0,0.0,0.0,96.46000000000001,818.0,15.0,8.0,8.0,0.0,0.0,95.798,807.0,10.0,6.0,4.0,0.0,0.0,96.306,826.0,20.0,8.0,9.0,0.0,0.0,95.862,13.0,8.0,9.0,21.0,0.0,4.0,0.0,18.0,9.0,5.0,10.0,0.0,0.0,96.07900000000001,8.0,5.0,3.0,7.0,0.0,0.0,98.122,20.0,1.0,1.0,21.0,0.0,5.0,0.0,16.0,13.0,7.0,11.0,0.0,0.0,97.798,155.0,20.0,11.0,21.0,0.0,4.0,0.0,822.0,17.0,9.0,6.0,0.0,0.0,95.57300000000001,815.0,11.0,6.0,16.0,0.0,0.0,96.99600000000001,820.0,23.0,10.0,14.0,0.0,0.0,98.99600000000001,824.0,19.0,10.0,18.0,0.0,0.0,128.732,828.0,20.0,11.0,13.0,0.0,0.0,100.86699999999999,821.0,16.0,7.0,17.0,0.0,0.0,96.122,4.0,4.0,813.0,154.0,18.0,7.0,0.0,0.0,98.90899999999999,97.993,12.0,15.0,0.0,0.0
9,1.0,1.0,4.0,2.0,21.0,0.0,5.0,0.0,817.0,14.0,1.0,2.0,0.0,0.0,95.045,3.0,6.0,2.0,1.0,0.0,0.0,94.217,825.0,20.0,5.0,3.0,0.0,0.0,95.74000000000001,4.0,2.0,3.0,5.0,0.0,0.0,96.405,818.0,15.0,8.0,8.0,0.0,0.0,96.093,807.0,10.0,6.0,4.0,0.0,0.0,96.65100000000001,826.0,20.0,8.0,9.0,0.0,0.0,95.691,13.0,8.0,9.0,21.0,0.0,4.0,0.0,18.0,9.0,5.0,10.0,0.0,0.0,95.979,8.0,5.0,3.0,7.0,0.0,0.0,96.648,20.0,1.0,1.0,21.0,0.0,5.0,0.0,16.0,13.0,7.0,11.0,0.0,0.0,98.062,155.0,20.0,11.0,21.0,0.0,4.0,0.0,822.0,17.0,9.0,6.0,0.0,0.0,95.732,815.0,11.0,6.0,16.0,0.0,0.0,96.422,820.0,23.0,10.0,15.0,0.0,0.0,101.036,824.0,19.0,10.0,18.0,0.0,0.0,101.693,828.0,20.0,11.0,13.0,0.0,0.0,99.78,821.0,16.0,7.0,17.0,0.0,0.0,95.93,4.0,4.0,813.0,154.0,18.0,7.0,0.0,0.0,98.563,98.721,12.0,14.0,0.0,0.0
