,circuitId,driverId1,driverStanding1,constructorStanding1,position1,inPit1,status1,laptime1,driverId2,driverStanding2,constructorStanding2,position2,inPit2,status2,laptime2,driverId3,driverStanding3,constructorStanding3,position3,inPit3,status3,laptime3,driverId4,driverStanding4,constructorStanding4,position4,inPit4,status4,laptime4,driverId5,driverStanding5,constructorStanding5,position5,inPit5,status5,laptime5,driverId6,driverStanding6,constructorStanding6,position6,inPit6,status6,laptime6,driverId7,driverStanding7,constructorStanding7,position7,inPit7,status7,laptime7,driverId8,driverStanding8,constructorStanding8,position8,inPit8,status8,laptime8,driverId9,driverStanding9,constructorStanding9,position9,inPit9,status9,laptime9,driverId10,driverStanding10,constructorStanding10,position10,inPit10,status10,laptime10,driverId11,driverStanding11,constructorStanding11,position11,inPit11,status11,laptime11,driverId12,driverStanding12,constructorStanding12,position12,inPit12,status12,laptime12,driverId13,driverStanding13,constructorStanding13,position13,inPit13,status13,laptime13,driverId14,driverStanding14,constructorStanding14,position14,inPit14,status14,laptime14,driverId15,driverStanding15,constructorStanding15,position15,inPit15,status15,laptime15,driverId16,driverStanding16,constructorStanding16,position16,inPit16,status16,laptime16,driverId17,driverStanding17,constructorStanding17,position17,inPit17,status17,laptime17,driverId18,driverStanding18,constructorStanding18,position18,inPit18,status18,laptime18,driverId19,driverStanding19,constructorStanding19,position19,inPit19,status19,laptime19,driverId20,driverStanding20,constructorStanding20,position20,inPit20,status20,laptime20,constructorStanding21,driverId21,driverStanding21,inPit21,laptime21,position21,status21
41,71.0,1.0,1.0,1.0,1.0,0.0,0.0,102.51599999999999,3.0,2.0,1.0,2.0,0.0,0.0,102.62299999999999,822.0,6.0,3.0,3.0,0.0,0.0,102.568,18.0,7.0,6.0,4.0,0.0,0.0,103.1,826.0,15.0,7.0,15.0,0.0,0.0,102.58500000000001,817.0,3.0,2.0,7.0,0.0,0.0,103.414,4.0,5.0,4.0,6.0,0.0,0.0,103.462,8.0,11.0,4.0,9.0,0.0,0.0,103.425,818.0,13.0,7.0,13.0,0.0,0.0,105.916,20.0,4.0,2.0,8.0,0.0,0.0,103.325,825.0,12.0,6.0,5.0,0.0,0.0,104.102,815.0,10.0,5.0,10.0,0.0,0.0,103.313,821.0,20.0,10.0,14.0,0.0,0.0,105.969,16.0,17.0,10.0,16.0,0.0,0.0,103.99600000000001,154.0,14.0,8.0,17.0,0.0,0.0,106.489,828.0,18.0,11.0,19.0,0.0,0.0,107.607,807.0,8.0,5.0,12.0,0.0,0.0,103.13,13.0,9.0,3.0,11.0,0.0,0.0,103.35900000000001,155.0,22.0,11.0,21.0,0.0,23.0,0.0,820.0,21.0,9.0,21.0,0.0,22.0,0.0,8.0,813.0,19.0,0.0,105.16,18.0,0.0
42,71.0,1.0,1.0,1.0,1.0,0.0,0.0,102.795,3.0,2.0,1.0,2.0,0.0,0.0,102.913,822.0,6.0,3.0,3.0,0.0,0.0,102.22999999999999,18.0,7.0,6.0,4.0,0.0,0.0,102.763,826.0,15.0,7.0,14.0,0.0,0.0,103.227,817.0,3.0,2.0,7.0,0.0,0.0,103.844,4.0,5.0,4.0,6.0,0.0,0.0,103.943,8.0,11.0,4.0,9.0,0.0,0.0,103.8,818.0,13.0,7.0,13.0,0.0,0.0,104.878,20.0,4.0,2.0,8.0,0.0,0.0,103.35499999999999,825.0,12.0,6.0,5.0,0.0,0.0,103.408,815.0,10.0,5.0,10.0,0.0,0.0,103.40299999999999,821.0,20.0,10.0,15.0,0.0,0.0,105.63300000000001,16.0,17.0,10.0,16.0,0.0,0.0,103.822,154.0,14.0,8.0,17.0,0.0,0.0,105.081,828.0,18.0,11.0,19.0,0.0,0.0,108.186,807.0,8.0,5.0,12.0,0.0,0.0,103.035,13.0,9.0,3.0,11.0,0.0,0.0,103.423,155.0,22.0,11.0,21.0,0.0,23.0,0.0,820.0,21.0,9.0,21.0,0.0,22.0,0.0,8.0,813.0,19.0,0.0,104.227,18.0,0.0
43,71.0,1.0,1.0,1.0,1.0,0.0,0.0,102.425,3.0,2.0,1.0,2.0,0.0,0.0,102.458,822.0,6.0,3.0,3.0,0.0,0.0,102.806,18.0,7.0,6.0,4.0,0.0,0.0,102.739,826.0,15.0,7.0,14.0,0.0,0.0,102.206,817.0,3.0,2.0,7.0,0.0,0.0,103.661,4.0,5.0,4.0,6.0,0.0,0.0,103.64699999999999,8.0,11.0,4.0,9.0,0.0,0.0,103.46600000000001,818.0,13.0,7.0,13.0,0.0,0.0,104.136,20.0,4.0,2.0,8.0,0.0,0.0,103.523,825.0,12.0,6.0,5.0,0.0,0.0,103.307,815.0,10.0,5.0,10.0,0.0,0.0,103.441,821.0,20.0,10.0,15.0,0.0,0.0,104.201,16.0,17.0,10.0,16.0,0.0,0.0,104.11500000000001,154.0,14.0,8.0,17.0,0.0,0.0,106.12299999999999,828.0,18.0,11.0,19.0,1.0,0.0,111.575,807.0,8.0,5.0,12.0,0.0,0.0,102.806,13.0,9.0,3.0,11.0,0.0,0.0,103.37100000000001,155.0,22.0,11.0,21.0,0.0,23.0,0.0,820.0,21.0,9.0,21.0,0.0,22.0,0.0,8.0,813.0,19.0,0.0,104.231,18.0,0.0
44,71.0,1.0,1.0,1.0,1.0,0.0,0.0,102.074,3.0,2.0,1.0,2.0,0.0,0.0,102.274,822.0,6.0,3.0,3.0,0.0,0.0,102.457,18.0,7.0,6.0,4.0,0.0,0.0,102.65899999999999,826.0,15.0,7.0,14.0,0.0,0.0,102.68,817.0,3.0,2.0,7.0,0.0,0.0,103.775,4.0,5.0,4.0,6.0,0.0,0.0,103.75,8.0,11.0,4.0,9.0,0.0,0.0,103.104,818.0,13.0,7.0,13.0,0.0,0.0,104.119,20.0,4.0,2.0,8.0,0.0,0.0,103.84100000000001,825.0,12.0,6.0,5.0,0.0,0.0,103.076,815.0,10.0,5.0,10.0,0.0,0.0,103.281,821.0,20.0,10.0,15.0,0.0,0.0,104.287,16.0,17.0,10.0,16.0,0.0,0.0,106.48400000000001,154.0,14.0,8.0,17.0,0.0,0.0,104.593,828.0,18.0,11.0,19.0,0.0,0.0,128.904,807.0,8.0,5.0,12.0,0.0,0.0,102.84100000000001,13.0,9.0,3.0,11.0,0.0,0.0,103.386,155.0,22.0,11.0,21.0,0.0,23.0,0.0,820.0,21.0,9.0,21.0,0.0,22.0,0.0,8.0,813.0,19.0,0.0,104.24799999999999,18.0,0.0
45,71.0,1.0,1.0,1.0,1.0,0.0,0.0,102.277,3.0,2.0,1.0,2.0,0.0,0.0,102.3,822.0,6.0,3.0,3.0,0.0,0.0,101.83,18.0,7.0,6.0,4.0,0.0,0.0,102.806,826.0,15.0,7.0,14.0,0.0,0.0,102.523,817.0,3.0,2.0,7.0,0.0,0.0,103.68,4.0,5.0,4.0,6.0,0.0,0.0,103.745,8.0,11.0,4.0,9.0,0.0,0.0,102.919,818.0,13.0,7.0,13.0,0.0,0.0,103.65899999999999,20.0,4.0,2.0,8.0,0.0,0.0,103.314,825.0,12.0,6.0,5.0,0.0,0.0,103.424,815.0,10.0,5.0,10.0,0.0,0.0,103.199,821.0,20.0,10.0,15.0,0.0,0.0,104.075,16.0,17.0,10.0,16.0,0.0,0.0,104.583,154.0,14.0,8.0,17.0,0.0,0.0,104.89099999999999,828.0,18.0,11.0,19.0,0.0,0.0,104.352,807.0,8.0,5.0,12.0,0.0,0.0,102.811,13.0,9.0,3.0,11.0,0.0,0.0,103.14,155.0,22.0,11.0,21.0,0.0,23.0,0.0,820.0,21.0,9.0,21.0,0.0,22.0,0.0,8.0,813.0,19.0,0.0,108.406,18.0,0.0
46,71.0,1.0,1.0,1.0,1.0,0.0,0.0,102.083,3.0,2.0,1.0,2.0,0.0,0.0,101.97200000000001,822.0,6.0,3.0,3.0,0.0,0.0,102.19200000000001,18.0,7.0,6.0,4.0,0.0,0.0,102.969,826.0,15.0,7.0,14.0,0.0,0.0,102.36099999999999,817.0,3.0,2.0,7.0,0.0,0.0,103.396,4.0,5.0,4.0,6.0,0.0,0.0,103.132,8.0,11.0,4.0,9.0,0.0,0.0,103.22399999999999,818.0,13.0,7.0,13.0,0.0,0.0,104.319,20.0,4.0,2.0,8.0,0.0,0.0,103.40299999999999,825.0,12.0,6.0,5.0,0.0,0.0,103.344,815.0,10.0,5.0,10.0,0.0,0.0,103.13300000000001,821.0,20.0,10.0,15.0,0.0,0.0,104.741,16.0,17.0,10.0,16.0,0.0,0.0,106.36500000000001,154.0,14.0,8.0,17.0,0.0,0.0,106.212,828.0,18.0,11.0,19.0,0.0,0.0,104.413,807.0,8.0,5.0,12.0,0.0,0.0,103.136,13.0,9.0,3.0,11.0,0.0,0.0,103.181,155.0,22.0,11.0,21.0,0.0,23.0,0.0,820.0,21.0,9.0,21.0,0.0,22.0,0.0,8.0,813.0,19.0,0.0,104.189,18.0,0.0
47,71.0,1.0,1.0,1.0,1.0,0.0,0.0,102.193,3.0,2.0,1.0,2.0,0.0,0.0,102.06700000000001,822.0,6.0,3.0,3.0,0.0,0.0,102.071,18.0,7.0,6.0,4.0,0.0,0.0,101.964,826.0,15.0,7.0,14.0,0.0,0.0,102.437,817.0,3.0,2.0,7.0,0.0,0.0,103.178,4.0,5.0,4.0,6.0,0.0,0.0,103.43,8.0,11.0,4.0,9.0,0.0,0.0,103.06700000000001,818.0,13.0,7.0,13.0,0.0,0.0,104.158,20.0,4.0,2.0,8.0,0.0,0.0,103.35,825.0,12.0,6.0,5.0,0.0,0.0,104.223,815.0,10.0,5.0,10.0,0.0,0.0,102.924,821.0,20.0,10.0,15.0,0.0,0.0,104.243,16.0,17.0,10.0,16.0,0.0,0.0,104.15299999999999,154.0,14.0,8.0,17.0,0.0,0.0,104.726,828.0,18.0,11.0,19.0,0.0,0.0,104.06700000000001,807.0,8.0,5.0,12.0,0.0,0.0,102.96600000000001,13.0,9.0,3.0,11.0,0.0,0.0,102.87899999999999,155.0,22.0,11.0,21.0,0.0,23.0,0.0,820.0,21.0,9.0,21.0,0.0,22.0,0.0,8.0,813.0,19.0,0.0,104.055,18.0,0.0
48,71.0,1.0,1.0,1.0,1.0,0.0,0.0,101.606,3.0,2.0,1.0,2.0,0.0,0.0,101.904,822.0,6.0,3.0,3.0,0.0,0.0,101.908,18.0,7.0,6.0,4.0,0.0,0.0,102.87899999999999,826.0,15.0,7.0,14.0,0.0,0.0,102.417,817.0,3.0,2.0,7.0,0.0,0.0,103.465,4.0,5.0,4.0,6.0,0.0,0.0,103.226,8.0,11.0,4.0,9.0,0.0,0.0,103.061,818.0,13.0,7.0,13.0,0.0,0.0,104.30799999999999,20.0,4.0,2.0,8.0,0.0,0.0,103.63499999999999,825.0,12.0,6.0,5.0,0.0,0.0,103.541,815.0,10.0,5.0,10.0,0.0,0.0,103.00999999999999,821.0,20.0,10.0,15.0,0.0,0.0,106.518,16.0,17.0,10.0,16.0,0.0,0.0,104.69200000000001,154.0,14.0,8.0,17.0,0.0,0.0,104.50999999999999,828.0,18.0,11.0,19.0,0.0,0.0,103.979,807.0,8.0,5.0,12.0,0.0,0.0,102.804,13.0,9.0,3.0,11.0,0.0,0.0,103.00200000000001,155.0,22.0,11.0,21.0,0.0,23.0,0.0,820.0,21.0,9.0,21.0,0.0,22.0,0.0,8.0,813.0,19.0,0.0,106.459,18.0,0.0
49,71.0,1.0,1.0,1.0,1.0,0.0,0.0,102.61,3.0,2.0,1.0,2.0,0.0,0.0,102.27000000000001,822.0,6.0,3.0,3.0,0.0,0.0,101.544,18.0,7.0,6.0,4.0,0.0,0.0,102.27199999999999,826.0,15.0,7.0,14.0,0.0,0.0,102.208,817.0,3.0,2.0,7.0,0.0,0.0,103.14,4.0,5.0,4.0,6.0,0.0,0.0,103.17099999999999,8.0,11.0,4.0,9.0,0.0,0.0,102.934,818.0,13.0,7.0,13.0,0.0,0.0,104.668,20.0,4.0,2.0,8.0,0.0,0.0,102.967,825.0,12.0,6.0,5.0,0.0,0.0,103.33500000000001,815.0,10.0,5.0,10.0,0.0,0.0,102.943,821.0,20.0,10.0,15.0,0.0,0.0,104.807,16.0,17.0,10.0,16.0,0.0,0.0,107.18,154.0,14.0,8.0,17.0,0.0,0.0,104.461,828.0,18.0,11.0,19.0,0.0,0.0,105.265,807.0,8.0,5.0,12.0,0.0,0.0,102.95,13.0,9.0,3.0,11.0,0.0,0.0,103.101,155.0,22.0,11.0,21.0,0.0,23.0,0.0,820.0,21.0,9.0,21.0,0.0,22.0,0.0,8.0,813.0,19.0,0.0,104.033,18.0,0.0
50,71.0,1.0,1.0,1.0,1.0,0.0,0.0,102.663,3.0,2.0,1.0,2.0,0.0,0.0,101.75200000000001,822.0,6.0,3.0,3.0,0.0,0.0,102.186,18.0,7.0,6.0,4.0,0.0,0.0,102.15100000000001,826.0,15.0,7.0,14.0,0.0,0.0,102.02799999999999,817.0,3.0,2.0,7.0,0.0,0.0,103.05,4.0,5.0,4.0,6.0,0.0,0.0,103.078,8.0,11.0,4.0,9.0,0.0,0.0,103.124,818.0,13.0,7.0,13.0,0.0,0.0,104.01599999999999,20.0,4.0,2.0,8.0,0.0,0.0,102.69800000000001,825.0,12.0,6.0,5.0,0.0,0.0,103.755,815.0,10.0,5.0,10.0,0.0,0.0,103.17099999999999,821.0,20.0,10.0,15.0,0.0,0.0,106.38300000000001,16.0,17.0,10.0,16.0,0.0,0.0,105.36,154.0,14.0,8.0,17.0,0.0,0.0,104.50200000000001,828.0,18.0,11.0,19.0,0.0,0.0,105.959,807.0,8.0,5.0,12.0,0.0,0.0,102.685,13.0,9.0,3.0,11.0,0.0,0.0,102.97200000000001,155.0,22.0,11.0,21.0,0.0,23.0,0.0,820.0,21.0,9.0,21.0,0.0,22.0,0.0,8.0,813.0,19.0,0.0,104.03,18.0,0.0
